Gene name,Mutated samples,Samples tested
PIK3C2G_ENST00000433979,74,1070
ROBO1_ENST00000618833,74,807
ANK3_ENST00000373827,74,809
RIMS1_ENST00000264839,73,809
CACNA1E_ENST00000621791,73,809
ANK3_ENST00000503366,73,809
CACNA1E_ENST00000621551,73,809
SLIT2_ENST00000273739,73,809
RIMS1_ENST00000518273,73,809
ZFHX4_ENST00000518282,73,832
UNC5D_ENST00000287272,73,834
SLIT2,73,809
CDH23_ENST00000622827,73,809
ZNF521,73,834
RIMS1_ENST00000517960,73,809
SLIT2_ENST00000622093,73,809
SLIT2_ENST00000503823,73,809
CACNA1E_ENST00000367567,73,809
MYT1L_ENST00000428368,73,809
RIMS1_ENST00000522291,73,809
SLC9A9,73,809
RIMS1_ENST00000491071,73,809
RIMS1,73,809
POU6F2_ENST00000559001,73,809
PIK3C2G_ENST00000266497,73,1070
RIMS1_ENST00000520567,73,809
SLIT2_ENST00000503837,73,809
CACNA1E_ENST00000357570,73,809
CDH23_ENST00000224721,73,809
CACNA1E,73,809
CACNA1E_ENST00000358338,73,809
CACNA1E_ENST00000367570,73,809
CACNA1E_ENST00000360108,73,809
PPFIA2_ENST00000550584,72,809
ZNF521_ENST00000584787,72,834
PPFIA2_ENST00000548586,72,809
DPP10_ENST00000410059,72,809
DNAH5,72,809
FNDC3B,72,809
MED12L,72,809
PPFIA2_ENST00000549325,72,809
MED12L_ENST00000273432,72,809
GRIK2_ENST00000369138,72,809
TGFBR2_ENST00000295754,72,1640
PPFIA2_ENST00000552948,72,809
PPFIA2,72,809
FNDC3B_ENST00000415807,72,809
ALK,72,1721
GRIK2,72,809
ZNF521_ENST00000538137,72,834
MAGI1,72,809
GRIK2_ENST00000413795,72,809
MAGI1_ENST00000330909,72,809
DPP10_ENST00000409163,71,809
PTPRN2_ENST00000389416,71,809
PTPRN2,71,809
NAV2_ENST00000349880,71,809
ARID1B_ENST00000636930,71,1365
ADGRB3_ENST00000546190,71,809
FNDC3B_ENST00000416957,71,809
THSD7B,71,809
NAV2_ENST00000527559,71,809
ARID1B_ENST00000350026,71,1365
PIEZO2_ENST00000302079,71,809
PLXNA4_ENST00000321063,71,809
PIEZO2_ENST00000383408,71,809
ADGRB3,71,809
PTPRN2_ENST00000409483,71,809
COL24A1,71,809
ZFHX3_ENST00000397992,71,1105
PLXNA4,71,809
DLC1,71,809
CDH4,71,809
ARID1B,71,1365
ARHGEF11_ENST00000361409,71,809
NAV2_ENST00000396085,71,809
DNAH17,71,809
UNC5D,71,834
PTPRN2_ENST00000389413,71,809
THSD7B_ENST00000272643,71,809
NAV2_ENST00000540292,71,809
DCC_ENST00000581580,71,834
SDK2,71,807
ARHGEF11,71,809
ADCY2,71,809
DNAH17_ENST00000585328,71,809
SSBP3_ENST00000610401,70,809
DLGAP2_ENST00000421627,70,807
ERBB3,70,1531
UNC5D_ENST00000416672,70,834
NAV2,70,809
NELL1_ENST00000357134,70,809
DNAH7,70,809
NELL1,70,809
RASA3,70,809
THSD7B_ENST00000413152,70,809
MALRD1,70,807
SSBP3_ENST00000417664,70,809
CDKN2A_ENST00000578845,70,2093
COL25A1_ENST00000642955,70,809
NELL1_ENST00000325319,70,809
MACF1_ENST00000564288,70,809
UNC5D_ENST00000420357,70,834
RIMS2,70,809
TENM3,70,809
NRXN3_ENST00000554719,70,809
UTRN,70,809
TENM2_ENST00000518659,70,807
SSBP3,70,809
NELL1_ENST00000532434,70,809
KCNT2_ENST00000367433,70,809
FBXW7_ENST00000296555,70,1759
COL25A1,70,809
NAALADL2,70,809
FAT1,70,1131
CACNA2D1,70,809
SSBP3_ENST00000371319,70,809
DLG2,70,809
PIEZO2,70,809
DLGAP2,70,807
SSBP3_ENST00000357475,70,809
CACNA2D1_ENST00000356253,70,809
FAT4,70,842
PIEZO2_ENST00000580640,70,809
FAT1_ENST00000614102,70,1131
DLG2_ENST00000398309,69,809
CACNA2D3_ENST00000288197,69,809
DPP10_ENST00000310323,69,809
DSCAM_ENST00000617870,69,809
PRUNE2_ENST00000443509,69,809
PAX3,69,809
CSMD2_ENST00000373388,69,809
NEB_ENST00000172853,69,809
DPP10,69,809
ADGRL3,69,807
CACNA2D3,69,809
ZFPM2,69,809
PCDHA8,69,809
DLG2_ENST00000532653,69,809
NEB_ENST00000427231,69,809
CDH8_ENST00000577730,69,809
TRIO,69,809
NEB,69,809
DNAH8,69,809
PRUNE2_ENST00000428286,69,809
DLG2_ENST00000524982,69,809
COL25A1_ENST00000399127,69,809
CDH8_ENST00000299345,69,809
TG,69,809
PRUNE2,69,809
ELMO1_ENST00000448602,69,834
MYO16_ENST00000356711,69,809
C8orf34,69,809
CACNA2D3_ENST00000490478,69,809
KMT2A,69,1500
ELMO1,69,834
NEB_ENST00000604864,69,809
CDKN2A_ENST00000479692,69,2093
NBEA_ENST00000629018,69,809
NEB_ENST00000603639,69,809
PAX3_ENST00000392070,69,809
ADGRL3_ENST00000512091,69,807
NEB_ENST00000409198,69,809
CSMD2_ENST00000619121,69,809
COL25A1_ENST00000399126,69,809
NEB_ENST00000397345,69,809
CACNA2D3_ENST00000415676,69,809
EPHA6,69,834
CACNA2D3_ENST00000620722,69,809
NBEA_ENST00000379939,69,809
NBEA,69,809
CDKN2A_ENST00000497750,69,2093
NBEA_ENST00000310336,69,809
CDH8,69,809
MYO18A_ENST00000531253,68,807
DOCK1_ENST00000280333,68,809
FAM172A_ENST00000509163,68,809
SPTA1,68,809
AUTS2,68,809
CSMD2,68,809
KCNU1,68,832
ADGRL3_ENST00000506700,68,807
ADGRL3_ENST00000504896,68,807
PAX3_ENST00000336840,68,809
ZFHX3_ENST00000268489,68,1105
KCNT2,68,809
DMD_ENST00000359836,68,809
ADGRL3_ENST00000507625,68,807
PPFIA2_ENST00000333447,68,809
FRAS1,68,807
KIAA1217_ENST00000376462,68,809
DMD_ENST00000541735,68,809
ADGRL3_ENST00000508946,68,807
NTRK3_ENST00000394480,68,1122
KCNT2_ENST00000451324,68,809
DMD_ENST00000378707,68,809
SYNE2_ENST00000357395,68,809
FAM172A_ENST00000505869,68,809
ADGRL3_ENST00000507164,68,807
ADGRL3_ENST00000506746,68,807
DOCK1,68,809
ADGRL3_ENST00000506720,68,807
ADGRL3_ENST00000511324,68,807
MAGI1_ENST00000483466,68,809
KCNT2_ENST00000609185,68,809
TMEM132C,68,809
AUTS2_ENST00000644939,68,809
PAX3_ENST00000344493,68,809
PAX3_ENST00000350526,68,809
MYO16,68,809
MAGI1_ENST00000497477,68,809
MDGA2_ENST00000399232,68,809
MAST4,68,809
CFAP54,68,809
ADGRL3_ENST00000514996,68,807
ADGRL3_ENST00000514157,68,807
SPTA1_ENST00000368147,68,809
SYNE2,68,809
PPFIA2_ENST00000443686,68,809
UNC13C,68,809
ALK_ENST00000618119,68,1721
MYO18A,68,807
PDZD2,68,809
PAX3_ENST00000409551,68,809
MYO18A_ENST00000628822,68,807
PPFIA2_ENST00000407050,68,809
AUTS2_ENST00000406775,68,809
FBXL7,68,809
SYNE2_ENST00000344113,68,809
DMD_ENST00000474231,68,809
ADGRL3_ENST00000509896,68,807
ADGRL3_ENST00000508693,68,807
AFF3,67,809
PTPRM,67,809
ANKS1B_ENST00000547010,67,807
MYO18A_ENST00000533112,67,807
AFF3_ENST00000409236,67,809
KIAA1217_ENST00000430453,67,809
CDC42BPA_ENST00000366766,67,809
RYR1,67,809
HBG2_ENST00000380252,67,807
ELMO1_ENST00000442504,67,834
BRCA2,67,1564
SEMA6D_ENST00000558014,67,809
KIAA1217,67,809
MDGA2,67,809
CDC42BPA_ENST00000366764,67,809
CDH12,67,809
HBE1_ENST00000380237,67,809
KIF26B,67,810
ANKS1B,67,807
PXDN,67,809
FBXL7_ENST00000510662,67,809
ANKFN1_ENST00000566473,67,809
RYR1_ENST00000355481,67,809
CELF2,67,809
KIAA1217_ENST00000458595,67,809
DOCK4_ENST00000428084,67,807
ADAM12,67,810
